property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
house,sector 2,9.0,5,5,2,Old Property,5171.0,Yes,furnished,Medium,Low Floor
flat,sector 81,2.26,3,4,3+,New Property,2100.04,Yes,furnished,High,High Floor
flat,sector 49,1.69,3,3,3,Moderately Old,2444.12,No,unfurnished,Medium,Mid Floor
house,sector 26,20.0,5,7,3+,Relatively New,4972.0,Yes,furnished,Medium,Mid Floor
flat,sector 61,1.85,2,2,2,New Property,1558.74,No,unfurnished,Low,Mid Floor
flat,sector 43,6.0,4,4,2,Under Construction,2992.86,Yes,semifurnished,Low,Low Floor
flat,sector 65,1.9,2,2,3,Under Construction,1260.99,No,unfurnished,Medium,Mid Floor
house,sector 26,15.0,5,6,3+,Moderately Old,4992.0,Yes,semifurnished,Medium,Mid Floor
house,sector 5,0.96,7,4,2,Moderately Old,1044.0,No,semifurnished,Low,Mid Floor
house,sector 39,5.15,5,5,0,Relatively New,4044.0,No,unfurnished,Low,Low Floor
house,sector 46,3.5,4,4,2,Relatively New,1790.0,No,semifurnished,Low,Low Floor
flat,sector 70,1.62,3,3,3,Relatively New,1949.99,Yes,unfurnished,Medium,Mid Floor
flat,sector 50,2.97,3,3,3+,Moderately Old,2604.97,Yes,semifurnished,High,Mid Floor
flat,sector 47,0.65,1,1,2,Old Property,672.13,No,unfurnished,Medium,Mid Floor
flat,sector 90,0.7,2,2,3,New Property,1351.95,No,unfurnished,Medium,Mid Floor
flat,gwal pahari,0.38,1,1,1,Moderately Old,623.98,No,unfurnished,Low,High Floor
flat,sector 106,0.39,1,1,1,Relatively New,699.98,No,unfurnished,Medium,Mid Floor
flat,sector 37c,1.43,3,3,3+,Relatively New,1990.03,Yes,unfurnished,Low,Low Floor
flat,sector 89,0.86,2,3,2,New Property,1375.61,Yes,semifurnished,Medium,Mid Floor
house,sector 2,3.65,9,9,3+,New Property,1720.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 107,1.4,3,4,0,New Property,2360.95,No,unfurnished,Medium,Low Floor
flat,sector 22,4.78,3,4,3,Relatively New,3089.99,Yes,furnished,Medium,Mid Floor
flat,sohna road,1.1,2,2,3+,Relatively New,1457.0,No,semifurnished,Low,High Floor
flat,sector 81,2.4,3,3,3+,Relatively New,2103.05,Yes,furnished,Low,High Floor
house,sector 33,11.5,5,6,3+,Relatively New,5171.0,Yes,unfurnished,Medium,Mid Floor
house,sector 103,4.35,4,4,3+,Relatively New,3560.0,Yes,unfurnished,Medium,Low Floor
flat,sohna road,0.9,3,3,3,Relatively New,1794.43,No,unfurnished,Medium,Mid Floor
flat,sector 109,1.9,4,4,3,Relatively New,3055.01,Yes,unfurnished,High,Mid Floor
flat,sector 102,1.75,3,4,3+,Relatively New,1931.04,Yes,unfurnished,Medium,High Floor
flat,sector 61,1.9,3,3,3,New Property,1398.02,No,unfurnished,Low,Low Floor
flat,sector 108,2.28,4,5,3+,Relatively New,2779.02,No,unfurnished,Medium,Mid Floor
flat,sector 77,0.99,2,2,2,Relatively New,1260.02,No,unfurnished,Medium,Low Floor
house,sector 109,7.0,4,4,3+,Relatively New,5967.0,No,semifurnished,Medium,Low Floor
flat,sector 74,1.52,2,2,3,Relatively New,1399.95,No,unfurnished,High,Mid Floor
flat,sector 65,7.0,3,3,2,Moderately Old,4800.86,No,unfurnished,Medium,High Floor
flat,sector 104,1.35,4,5,3+,Relatively New,3356.66,Yes,unfurnished,Medium,Low Floor
flat,sector 81,0.6,2,2,1,Under Construction,899.97,No,unfurnished,Low,Low Floor
flat,sector 90,1.78,4,4,3+,Relatively New,2215.0,No,unfurnished,Medium,High Floor
flat,sector 65,5.0,3,3,3+,Relatively New,2979.02,Yes,semifurnished,High,High Floor
flat,sector 65,2.5,3,3,3,Relatively New,1650.0,Yes,unfurnished,Low,Mid Floor
flat,sector 61,2.54,3,3,3,Under Construction,2044.85,No,unfurnished,Low,Low Floor
flat,sohna road,0.78,2,2,2,Relatively New,1264.0,No,unfurnished,Medium,Mid Floor
flat,sector 50,1.05,2,2,2,Moderately Old,1232.11,No,unfurnished,Medium,Low Floor
flat,sector 90,1.25,3,4,3+,Old Property,1804.44,Yes,furnished,Low,Low Floor
flat,sector 83,0.8,2,2,2,Moderately Old,1319.98,No,unfurnished,Low,Mid Floor
flat,sector 102,1.75,3,3,3+,Relatively New,1852.04,No,unfurnished,Low,Low Floor
flat,sector 33,1.4,3,3,3,Under Construction,650.03,No,unfurnished,Medium,Low Floor
flat,sector 82,1.39,3,3,3+,Relatively New,2159.99,Yes,semifurnished,Medium,High Floor
flat,sector 104,1.35,4,5,3+,Relatively New,3366.75,Yes,unfurnished,Medium,Low Floor
flat,sector 37d,1.07,3,3,2,Under Construction,1627.27,No,unfurnished,Medium,Low Floor
house,sector 48,4.75,7,7,3,Moderately Old,2586.0,No,semifurnished,Low,Low Floor
flat,manesar,0.86,3,3,3+,Moderately Old,2587.96,Yes,unfurnished,Medium,Mid Floor
flat,sector 102,2.1,3,4,3+,Relatively New,2149.01,Yes,unfurnished,Medium,Mid Floor
flat,sector 106,1.25,3,4,3+,Relatively New,1760.01,Yes,unfurnished,High,Mid Floor
flat,sector 86,0.6,3,2,2,New Property,935.04,No,unfurnished,Low,Low Floor
house,sector 26,5.8,5,5,3+,Old Property,1989.0,Yes,unfurnished,Medium,Low Floor
flat,sector 113,3.35,4,4,3+,Relatively New,3356.66,Yes,unfurnished,High,High Floor
flat,sector 3,0.5,2,2,1,Old Property,810.41,No,semifurnished,Low,Low Floor
flat,sector 85,1.09,2,2,3,Relatively New,1639.99,No,unfurnished,Low,Mid Floor
house,sector 41,11.0,4,4,2,New Property,3580.0,Yes,unfurnished,Low,Mid Floor
flat,sector 106,1.28,3,4,3+,Relatively New,1760.01,Yes,unfurnished,Low,High Floor
flat,sohna road,0.54,2,1,3,New Property,929.07,No,unfurnished,Medium,Low Floor
house,sector 56,3.25,5,6,3+,Relatively New,1671.0,No,semifurnished,Low,Mid Floor
flat,sector 104,1.9,3,3,3,Under Construction,1688.96,No,semifurnished,Medium,High Floor
flat,sector 65,5.5,3,4,3,Relatively New,3242.95,Yes,unfurnished,Low,Mid Floor
flat,sector 95,0.38,2,2,2,Relatively New,803.34,No,unfurnished,Medium,Mid Floor
flat,sector 36,0.72,3,2,3,Under Construction,1081.02,No,unfurnished,Low,Mid Floor
flat,sector 84,2.2,4,4,3,Relatively New,3616.01,Yes,unfurnished,Low,Mid Floor
flat,sector 92,0.58,3,3,3,New Property,1415.02,No,unfurnished,Medium,Mid Floor
flat,sector 83,1.12,3,3,2,Moderately Old,1735.03,No,semifurnished,Medium,High Floor
flat,sector 1,2.01,4,4,3+,Moderately Old,2194.86,No,furnished,Low,Mid Floor
flat,sector 81,2.5,3,3,2,Relatively New,2132.01,Yes,furnished,High,High Floor
house,sector 4,5.0,3,3,2,Old Property,5470.0,No,unfurnished,Low,Low Floor
flat,sector 67,2.95,3,3,3+,Moderately Old,2435.98,Yes,semifurnished,High,High Floor
flat,sector 83,0.95,3,3,3,Moderately Old,1670.96,No,unfurnished,Low,Low Floor
house,sector 43,9.85,5,5,2,Old Property,4157.0,Yes,unfurnished,Low,Mid Floor
flat,sector 90,0.45,2,2,1,New Property,780.85,No,semifurnished,Low,Low Floor
flat,sector 85,1.87,3,4,3,Relatively New,2407.99,No,unfurnished,Low,Mid Floor
house,sector 7,0.9,6,4,3,Old Property,994.0,Yes,semifurnished,Low,Mid Floor
house,sector 11,2.5,5,4,3,Old Property,2044.0,No,unfurnished,Low,Low Floor
flat,sector 89,0.97,2,2,2,New Property,1538.64,No,unfurnished,Low,Low Floor
flat,sector 48,1.6,3,3,3+,Old Property,1909.95,No,semifurnished,Low,Mid Floor
flat,sector 63a,3.7,3,3,3+,Under Construction,2992.86,No,unfurnished,Medium,Low Floor
house,sector 11,1.8,8,5,2,Moderately Old,2778.44,No,unfurnished,Low,Low Floor
flat,sector 85,2.15,4,5,3+,Relatively New,2811.96,Yes,unfurnished,High,Low Floor
flat,sector 99a,0.32,2,2,2,New Property,553.05,No,unfurnished,Medium,High Floor
flat,sector 107,0.8,2,2,3+,Relatively New,1366.05,No,semifurnished,High,Mid Floor
flat,sohna road,0.67,2,2,3,Relatively New,1209.97,No,unfurnished,Medium,Mid Floor
flat,sector 71,1.4,3,3,2,Moderately Old,2197.26,No,semifurnished,Medium,Low Floor
flat,sector 68,0.8,2,2,3+,New Property,1304.0,No,semifurnished,Low,High Floor
house,sector 3,0.75,4,2,2,Old Property,1293.0,No,unfurnished,Low,Low Floor
house,sector 33,8.0,4,4,3+,Old Property,7735.0,Yes,unfurnished,Medium,Low Floor
flat,sector 109,1.7,3,3,3,Relatively New,1745.04,No,unfurnished,Medium,High Floor
flat,sector 110,1.8,3,3,3+,Relatively New,2042.02,Yes,semifurnished,Medium,Mid Floor
flat,sector 86,1.26,3,3,3,Moderately Old,1929.97,Yes,unfurnished,Medium,Mid Floor
house,sector 14,3.5,6,4,2,Old Property,2089.63,No,semifurnished,Low,Low Floor
flat,sector 67,4.55,4,4,3+,Relatively New,3130.03,Yes,semifurnished,High,High Floor
flat,sector 71,0.79,2,2,2,Relatively New,1198.02,No,unfurnished,Low,Mid Floor
flat,sector 106,1.05,3,4,3+,Relatively New,1760.01,Yes,unfurnished,High,Mid Floor
flat,sector 54,11.0,4,5,3+,Relatively New,3865.26,Yes,unfurnished,Low,Mid Floor
flat,sector 92,0.6,3,2,3,Moderately Old,1496.12,No,semifurnished,Low,Mid Floor
flat,sector 80,1.4,3,4,2,Moderately Old,2262.03,Yes,unfurnished,Medium,Mid Floor
flat,sector 82,0.63,2,2,3+,Relatively New,1133.98,No,unfurnished,Medium,Low Floor
flat,sector 43,2.75,3,4,3+,Moderately Old,2493.78,Yes,semifurnished,Low,Mid Floor
flat,sector 70,1.25,2,2,3,Relatively New,1350.01,No,unfurnished,Low,Mid Floor
flat,sector 79,1.12,2,2,3,Relatively New,1571.96,No,unfurnished,Low,Mid Floor
flat,sector 2,1.55,3,4,3+,Old Property,1919.96,Yes,unfurnished,Medium,Mid Floor
flat,sector 108,4.1,4,5,3,New Property,2343.95,Yes,furnished,Medium,High Floor
flat,sector 102,2.4,3,4,3+,Relatively New,2579.03,No,semifurnished,Low,Mid Floor
house,sector 39,7.0,10,11,3+,Relatively New,7735.0,No,semifurnished,Low,Mid Floor
flat,sector 92,0.8,4,3,2,Relatively New,1900.04,No,unfurnished,Low,Mid Floor
flat,sector 67,3.5,3,4,3,Relatively New,2400.03,Yes,semifurnished,High,High Floor
house,sector 31,3.25,4,4,3+,Moderately Old,1601.0,Yes,semifurnished,Low,Mid Floor
flat,sector 22,2.79,3,3,3,New Property,1860.0,No,furnished,High,High Floor
flat,sector 69,1.38,3,3,1,Relatively New,1917.82,No,unfurnished,High,High Floor
house,sector 24,3.51,4,4,3,Under Construction,3143.0,Yes,semifurnished,High,Mid Floor
flat,sector 83,1.4,3,3,3,Relatively New,1719.96,Yes,semifurnished,High,Low Floor
flat,sector 92,0.95,4,3,2,New Property,2000.04,No,unfurnished,Medium,High Floor
house,sector 56,7.5,8,8,3+,Relatively New,3580.0,Yes,furnished,Low,Mid Floor
flat,sector 36,0.41,2,2,3,New Property,723.0,No,unfurnished,Low,Mid Floor
flat,sector 49,1.72,3,3,2,Old Property,2743.04,No,semifurnished,Medium,Low Floor
house,sector 50,6.8,4,5,3,Old Property,2233.48,Yes,semifurnished,Medium,Mid Floor
flat,sohna road,0.28,2,2,2,Relatively New,583.57,No,unfurnished,Low,Mid Floor
flat,sector 83,3.15,5,7,3+,Relatively New,3750.04,Yes,semifurnished,High,High Floor
flat,sector 45,2.25,4,4,2,Old Property,3584.73,Yes,furnished,Low,Mid Floor
flat,sector 92,0.9,3,2,3,Relatively New,1370.03,No,unfurnished,Medium,High Floor
flat,sector 67a,1.6,3,3,2,New Property,1726.96,No,semifurnished,Medium,Mid Floor
flat,sector 83,0.95,2,2,3,Relatively New,1444.95,No,semifurnished,Medium,Mid Floor
flat,sector 53,6.5,3,4,3+,Old Property,2965.02,No,unfurnished,Medium,Low Floor
house,sector 17,0.32,5,1,0,Moderately Old,624.0,No,unfurnished,Low,Low Floor
flat,sector 72,3.21,3,4,3+,Relatively New,2184.96,Yes,semifurnished,High,High Floor
house,sector 70a,5.25,5,4,3+,New Property,2884.0,Yes,semifurnished,Low,Mid Floor
flat,sector 77,1.4,3,3,3,Relatively New,1917.0,No,unfurnished,Low,Mid Floor
house,sector 50,10.56,5,5,3,Moderately Old,3580.0,Yes,unfurnished,Low,Mid Floor
flat,sector 33,1.2,2,2,2,Under Construction,1361.75,No,unfurnished,Medium,Low Floor
flat,sector 69,1.38,3,3,1,Relatively New,1537.95,No,unfurnished,Medium,High Floor
house,sector 105,1.2,6,2,1,Old Property,1309.0,No,unfurnished,Low,Low Floor
flat,sector 2,0.35,2,2,2,Relatively New,821.8,No,unfurnished,Low,Mid Floor
flat,sector 15,1.4,4,3,3,Old Property,1620.75,No,semifurnished,Medium,Mid Floor
flat,sector 33,0.4,2,2,2,Relatively New,799.97,No,furnished,Low,Low Floor
flat,sector 89,1.01,2,2,2,Under Construction,1375.61,No,unfurnished,Low,Mid Floor
flat,sector 81,3.45,4,4,3+,Moderately Old,2792.05,Yes,unfurnished,Medium,High Floor
flat,sohna road,0.9,2,2,2,Relatively New,1362.19,No,unfurnished,Low,Mid Floor
flat,sector 37d,0.8,2,2,3,Relatively New,1380.04,No,unfurnished,Medium,Low Floor
flat,sector 109,1.3,3,2,3,Moderately Old,1880.02,No,unfurnished,Medium,High Floor
flat,sector 102,0.95,2,2,2,Relatively New,1048.71,No,unfurnished,Low,High Floor
flat,sector 112,3.65,3,4,3+,Relatively New,2801.95,Yes,semifurnished,High,High Floor
flat,sector 86,0.42,2,2,1,New Property,624.87,Yes,unfurnished,Medium,Low Floor
flat,sector 95,0.4,3,2,2,New Property,854.1,No,unfurnished,Low,Mid Floor
flat,sector 33,1.35,3,2,3+,Under Construction,1639.99,No,unfurnished,Low,Mid Floor
flat,sector 43,6.5,4,4,3+,Moderately Old,2996.99,Yes,unfurnished,Low,Mid Floor
flat,sector 107,0.28,2,2,2,Relatively New,609.57,No,unfurnished,Low,Low Floor
flat,sector 85,1.38,3,4,2,Relatively New,2119.95,Yes,unfurnished,Medium,Mid Floor
house,sector 48,5.75,4,4,2,Moderately Old,2816.67,Yes,unfurnished,Low,Low Floor
flat,sector 56,1.38,3,3,3,Moderately Old,2110.0,No,semifurnished,Medium,Mid Floor
flat,sector 90,0.7,2,2,3,New Property,1351.95,No,unfurnished,Medium,Mid Floor
flat,sector 71,0.37,1,1,2,Relatively New,499.98,No,semifurnished,Low,Low Floor
flat,sector 65,2.65,2,2,3,New Property,1433.0,No,unfurnished,Low,Mid Floor
flat,sector 85,1.24,2,2,3,Relatively New,1740.95,No,unfurnished,Low,Mid Floor
flat,sector 70a,2.52,3,4,3,Relatively New,2349.97,Yes,unfurnished,High,Mid Floor
house,sector 43,3.3,1,1,0,Under Construction,1372.0,No,unfurnished,Low,Low Floor
house,sector 66,9.01,4,4,3+,Relatively New,6197.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 90,1.55,4,4,3+,Relatively New,2363.97,Yes,unfurnished,Medium,Low Floor
house,sector 69,2.95,4,3,2,New Property,1989.0,No,furnished,Medium,Mid Floor
flat,sector 72,1.9,3,3,3,Moderately Old,1974.96,Yes,semifurnished,Low,Mid Floor
house,sector 12,1.7,1,1,2,Old Property,2244.52,No,unfurnished,Low,Low Floor
flat,sector 77,0.75,2,2,2,Relatively New,1342.04,No,semifurnished,High,Mid Floor
flat,sector 76,3.5,3,4,3,Under Construction,2738.18,No,unfurnished,Low,Mid Floor
flat,sector 112,0.7,2,2,2,Relatively New,1655.0,No,unfurnished,Medium,Mid Floor
flat,sector 95,0.28,2,2,2,New Property,767.04,No,unfurnished,Low,Mid Floor
house,sector 9,0.6,2,2,1,Moderately Old,617.0,No,unfurnished,Low,Low Floor
house,sector 109,6.5,4,4,3+,New Property,5967.0,Yes,semifurnished,High,Low Floor
house,sector 76,1.75,4,4,0,New Property,3491.37,No,unfurnished,Low,High Floor
flat,sector 37d,0.75,2,2,3,Moderately Old,1558.0,No,unfurnished,Medium,High Floor
flat,sector 83,1.08,3,3,3,Relatively New,1739.98,No,unfurnished,Medium,Mid Floor
flat,sector 72,6.5,4,4,3+,Relatively New,4250.02,Yes,unfurnished,Medium,Low Floor
flat,sector 82,0.94,2,2,3+,Relatively New,1435.04,No,semifurnished,Medium,Mid Floor
flat,sector 3 phase 3 extension,0.25,2,2,2,Relatively New,872.97,No,unfurnished,Low,Low Floor
flat,sector 22,4.1,3,3,3+,New Property,2780.96,No,furnished,Medium,Low Floor
flat,sector 102,2.2,3,4,3+,Relatively New,2149.01,Yes,semifurnished,Low,High Floor
flat,sector 70,1.55,3,3,3,Relatively New,1949.99,Yes,unfurnished,Low,Mid Floor
flat,sector 88a,1.29,3,3,3,New Property,1629.01,No,unfurnished,Medium,Mid Floor
flat,sector 103,1.65,3,3,3+,Relatively New,2000.04,No,unfurnished,Low,High Floor
flat,sector 81,4.4,4,4,3+,New Property,4199.97,Yes,furnished,Low,Mid Floor
flat,sector 106,1.2,3,3,3,Relatively New,1664.96,No,unfurnished,High,High Floor
house,sector 24,1.9,10,9,3+,Relatively New,5545.0,No,furnished,Low,Mid Floor
flat,sector 54,10.0,4,5,3+,Moderately Old,4071.98,Yes,furnished,High,High Floor
flat,sector 107,1.7,4,5,3+,Relatively New,2768.04,Yes,unfurnished,Medium,Mid Floor
flat,sector 28,1.6,2,2,2,Relatively New,1371.48,No,unfurnished,Medium,Mid Floor
flat,sector 90,0.65,2,2,3,Relatively New,1299.96,No,semifurnished,Low,High Floor
flat,sector 90,1.54,4,4,3+,Moderately Old,2363.97,Yes,semifurnished,Medium,High Floor
flat,sector 69,1.43,3,3,2,Relatively New,1608.02,No,unfurnished,Medium,Low Floor
flat,sector 28,2.3,3,3,3,Moderately Old,1964.0,Yes,unfurnished,Medium,Mid Floor
house,sector 54,2.0,9,9,3,Relatively New,758.35,Yes,furnished,Low,High Floor
house,sector 103,2.25,3,5,3+,Relatively New,3218.66,No,unfurnished,Low,Mid Floor
house,sector 7,3.0,7,7,0,Old Property,2884.0,No,unfurnished,Low,Mid Floor
flat,sector 111,3.5,4,5,3+,Relatively New,2949.95,Yes,semifurnished,Low,Mid Floor
house,sector 17b,7.2,4,4,2,Old Property,4996.0,Yes,unfurnished,Low,Low Floor
flat,sector 103,0.9,2,2,2,Relatively New,1350.01,No,unfurnished,Low,Low Floor
flat,sector 95,0.2,1,1,1,Relatively New,456.61,No,unfurnished,Medium,Mid Floor
house,sector 25,10.0,5,6,3,Old Property,2984.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 37d,0.65,2,2,3,New Property,650.03,No,unfurnished,Low,Low Floor
flat,sector 72,4.0,4,5,3+,Relatively New,2904.96,Yes,semifurnished,High,Mid Floor
flat,sector 56,0.47,1,1,1,Old Property,754.3,No,semifurnished,Medium,Mid Floor
flat,sector 102,2.04,3,3,3+,Relatively New,1852.04,No,unfurnished,Medium,Low Floor
flat,sector 104,0.85,2,2,3+,Relatively New,1446.02,No,unfurnished,Medium,Mid Floor
flat,sohna road,0.71,2,2,3+,Relatively New,1457.0,No,unfurnished,Low,Mid Floor
flat,sector 56,1.7,3,2,3,Old Property,1599.95,No,unfurnished,Medium,Mid Floor
flat,sector 85,1.25,2,2,3+,Relatively New,1740.95,No,unfurnished,High,High Floor
house,sector 4,0.55,3,3,2,Relatively New,1492.0,No,unfurnished,Low,Low Floor
house,sector 13,0.62,6,6,0,Moderately Old,212.0,No,unfurnished,Low,Mid Floor
flat,sector 107,0.38,2,2,2,Relatively New,650.03,No,furnished,Low,Mid Floor
flat,sector 113,1.38,2,2,3,New Property,1573.04,No,unfurnished,High,Mid Floor
flat,sector 108,3.95,3,5,2,New Property,2342.98,Yes,unfurnished,Medium,High Floor
house,sector 109,6.0,4,5,3,Moderately Old,6882.0,No,unfurnished,Medium,Low Floor
flat,sector 72,3.3,3,4,3+,New Property,2184.96,Yes,furnished,High,High Floor
house,sector 50,6.8,4,4,3+,Old Property,2387.0,Yes,unfurnished,Medium,Low Floor
flat,sector 72,5.0,4,4,3+,Moderately Old,4701.9,Yes,semifurnished,High,Low Floor
flat,sector 81,2.4,3,4,3+,Relatively New,2103.05,Yes,furnished,High,High Floor
flat,sector 78,0.99,2,2,3,Under Construction,1621.04,No,unfurnished,Low,High Floor
flat,sector 37d,1.77,4,3,3,Relatively New,2190.99,Yes,unfurnished,Low,High Floor
flat,sector 65,6.15,3,3,3,Moderately Old,3362.97,Yes,semifurnished,Medium,High Floor
flat,sector 89,1.85,3,3,3+,New Property,2149.98,Yes,unfurnished,Low,High Floor
flat,sector 67,2.72,4,4,3+,Relatively New,2349.97,Yes,semifurnished,Medium,Low Floor
flat,sector 58,2.2,2,2,1,Relatively New,1632.02,No,semifurnished,Medium,Mid Floor
flat,sector 110,4.25,5,5,3+,Relatively New,3879.96,Yes,unfurnished,Medium,Mid Floor
flat,sector 82,1.37,3,3,3,Relatively New,2159.99,Yes,semifurnished,Medium,High Floor
flat,sector 54,11.0,4,6,3,Relatively New,3123.04,Yes,furnished,Medium,Mid Floor
flat,sector 83,1.76,3,3,3,Relatively New,1900.04,Yes,semifurnished,High,Mid Floor
flat,sector 37c,0.86,3,3,2,New Property,1760.01,No,unfurnished,Low,Low Floor
flat,sector 102,1.99,2,2,2,New Property,1349.04,No,unfurnished,High,High Floor
flat,sector 81,2.2,3,4,3+,Relatively New,2100.04,Yes,furnished,Medium,Mid Floor
flat,sector 107,1.2,3,3,3,Relatively New,1942.99,No,semifurnished,Low,Mid Floor
flat,sector 104,2.62,4,4,3+,Relatively New,3149.95,Yes,unfurnished,High,High Floor
house,sector 48,8.4,4,4,3,Old Property,3580.0,Yes,semifurnished,Low,Low Floor
flat,sector 65,2.9,4,4,3+,Relatively New,1974.96,Yes,semifurnished,High,Mid Floor
flat,sector 43,8.44,4,5,3,Moderately Old,5200.04,Yes,furnished,Medium,Mid Floor
house,sector 70a,4.02,4,4,3+,Relatively New,6078.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 79,1.41,2,2,3,New Property,1960.35,No,unfurnished,Medium,Mid Floor
flat,sector 37d,1.95,4,3,3,Under Construction,2190.99,No,unfurnished,Medium,Mid Floor
house,sector 7,2.3,5,3,3+,Old Property,1492.0,Yes,unfurnished,Low,Mid Floor
flat,sector 70a,1.3,2,2,3,Moderately Old,1419.97,No,semifurnished,Low,High Floor
house,sector 2,0.98,9,4,3,Moderately Old,1346.73,No,unfurnished,Low,Low Floor
flat,sector 83,1.42,4,4,3,Relatively New,2390.02,Yes,unfurnished,Medium,Mid Floor
house,sohna road,0.85,3,2,2,Under Construction,1238.0,No,unfurnished,Low,Low Floor
flat,sector 85,1.14,2,2,3,Relatively New,1771.95,No,unfurnished,Low,High Floor
flat,sector 79,1.0,2,2,3,Relatively New,1907.8,No,unfurnished,Low,Mid Floor
flat,sector 37d,0.55,2,2,3,New Property,599.98,No,unfurnished,Medium,Mid Floor
flat,sector 104,0.4,2,2,1,Relatively New,568.98,No,unfurnished,Low,High Floor
flat,sector 83,1.55,3,3,3,Relatively New,1719.96,Yes,semifurnished,High,Mid Floor
house,sector 28,1.45,3,2,1,Relatively New,1564.25,No,unfurnished,Low,Low Floor
flat,sector 12,1.15,3,4,2,Old Property,2210.0,Yes,unfurnished,Low,Low Floor
flat,sector 102,1.9,3,4,3,Relatively New,1888.96,Yes,unfurnished,Medium,High Floor
house,sector 7,0.83,5,3,2,Old Property,588.31,No,unfurnished,Low,Mid Floor
flat,sector 49,2.23,3,3,3,Relatively New,2032.98,No,unfurnished,Low,High Floor
house,sector 13,2.25,10,10,2,Moderately Old,4040.11,No,unfurnished,Low,Low Floor
house,sector 28,2.58,4,2,2,Moderately Old,1620.75,No,unfurnished,Low,Low Floor
flat,sector 77,0.71,2,2,2,Relatively New,1342.04,No,unfurnished,Medium,Mid Floor
house,sector 82,1.4,3,3,2,New Property,1879.0,No,unfurnished,Medium,Mid Floor
flat,sector 102,1.82,3,4,3+,Relatively New,1942.02,Yes,unfurnished,Medium,High Floor
house,sector 8,0.45,1,1,1,Moderately Old,623.7,No,unfurnished,Low,Mid Floor
flat,sector 102,1.35,2,2,2,Relatively New,1359.05,No,unfurnished,Medium,Mid Floor
flat,sector 91,1.75,4,3,3+,Relatively New,2724.02,Yes,unfurnished,Medium,Mid Floor
flat,sector 86,1.3,4,6,2,New Property,2786.02,Yes,unfurnished,Medium,High Floor
flat,sector 65,2.8,3,3,3,Under Construction,1828.03,No,unfurnished,Medium,High Floor
flat,sector 2,0.95,2,2,1,Relatively New,1234.44,No,unfurnished,Medium,Low Floor
house,sector 66,12.0,5,5,3+,New Property,3580.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 56,1.55,3,3,3+,Moderately Old,2000.04,Yes,semifurnished,Low,Mid Floor
flat,sector 69,1.76,4,4,2,Relatively New,2010.05,No,unfurnished,Medium,Mid Floor
flat,sector 70a,1.55,3,3,3,Relatively New,1976.04,Yes,unfurnished,Low,Mid Floor
flat,sector 111,0.6,2,2,3,New Property,885.38,No,unfurnished,Medium,Mid Floor
house,sector 11,1.35,10,6,3+,Old Property,3867.0,No,unfurnished,Low,Mid Floor
flat,sector 37c,0.4,2,2,2,New Property,748.33,No,unfurnished,Low,Mid Floor
flat,sector 33,1.25,2,2,3,Under Construction,1398.24,No,unfurnished,Medium,High Floor
house,sector 3,3.5,1,1,0,Old Property,4199.0,No,unfurnished,Low,Low Floor
flat,sector 37d,1.5,3,3,3,Relatively New,1811.03,No,unfurnished,Low,High Floor
flat,sector 47,2.4,3,4,3+,Moderately Old,2086.04,Yes,unfurnished,Medium,Mid Floor
flat,sector 108,0.97,2,2,3,Relatively New,1309.48,Yes,unfurnished,High,Mid Floor
house,sector 105,0.37,2,2,1,Moderately Old,497.0,No,unfurnished,Low,Low Floor
flat,sector 53,4.8,3,4,3+,Relatively New,2894.95,Yes,semifurnished,High,Mid Floor
house,sector 50,12.0,5,6,3+,Moderately Old,4040.11,No,unfurnished,Medium,Mid Floor
flat,sector 37d,1.55,3,3,3+,Relatively New,1811.03,No,unfurnished,Medium,High Floor
flat,sector 92,1.3,4,4,0,Relatively New,2254.0,No,unfurnished,Low,Mid Floor
flat,sector 70,1.8,3,3,3+,New Property,1949.99,No,semifurnished,Low,Mid Floor
house,sector 89,1.25,3,3,2,Under Construction,1572.0,No,unfurnished,Low,Low Floor
house,sector 3,0.55,2,2,1,Moderately Old,900.18,No,unfurnished,Low,Low Floor
flat,sector 108,1.9,2,2,2,Relatively New,1381.01,No,unfurnished,Medium,Mid Floor
house,sector 3 phase 3 extension,1.0,1,1,0,Relatively New,1657.0,No,unfurnished,Low,Low Floor
house,sector 12,0.65,6,2,3,Old Property,1246.86,No,unfurnished,Low,Low Floor
flat,sector 54,5.7,3,3,3,Moderately Old,1527.0,No,unfurnished,Low,Low Floor
flat,sector 70a,1.69,3,3,3+,New Property,1976.04,Yes,unfurnished,High,Mid Floor
flat,sector 2,0.6,1,1,1,Moderately Old,734.96,No,semifurnished,Medium,Mid Floor
flat,sector 107,1.32,3,3,3,Relatively New,1942.99,No,unfurnished,Medium,Mid Floor
flat,sector 92,0.7,3,2,2,Relatively New,1326.0,No,unfurnished,Medium,Mid Floor
house,sector 57,3.5,4,4,3+,Old Property,1790.0,No,semifurnished,Medium,Mid Floor
flat,manesar,0.48,2,2,3,Moderately Old,1250.01,No,unfurnished,Medium,Mid Floor
