property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
flat,sector 85,0.9,3,3,3,Relatively New,1587.03,No,unfurnished,Low,Mid Floor
flat,sector 90,1.0,3,4,3,New Property,1949.99,Yes,unfurnished,Medium,Mid Floor
flat,sector 63,7.52,4,4,3,New Property,3578.39,No,unfurnished,Medium,High Floor
house,sector 14,6.46,5,5,2,Moderately Old,3598.8,Yes,semifurnished,Low,Mid Floor
house,sector 11,0.95,5,3,0,Moderately Old,1436.0,No,unfurnished,Low,Low Floor
flat,sector 90,1.88,4,4,3+,Relatively New,2727.03,Yes,unfurnished,Medium,High Floor
flat,sector 104,1.3,3,3,3,New Property,1646.98,No,unfurnished,Medium,Mid Floor
flat,sector 36,0.72,3,2,3,Under Construction,1396.31,No,unfurnished,Low,Low Floor
flat,sector 66,2.8,3,3,2,New Property,1949.99,Yes,furnished,Medium,High Floor
flat,sector 60,3.7,4,5,3,Relatively New,2800.01,Yes,semifurnished,High,Mid Floor
flat,sohna road,0.28,1,1,1,New Property,497.36,No,furnished,Low,Mid Floor
flat,sector 107,1.3,3,3,3,Relatively New,1942.99,No,unfurnished,Medium,Mid Floor
flat,sector 102,0.96,2,2,2,Relatively New,915.04,No,unfurnished,Medium,Mid Floor
flat,sector 81,0.5,2,2,3,Relatively New,734.96,No,unfurnished,Medium,Mid Floor
flat,sector 65,2.1,2,2,3,New Property,1260.99,No,unfurnished,Low,Mid Floor
flat,sector 108,0.9,2,3,3,Relatively New,1282.95,Yes,unfurnished,Medium,Low Floor
house,sector 66,12.0,5,6,3+,New Property,3481.0,Yes,unfurnished,Low,Mid Floor
flat,sector 92,0.65,3,3,2,Relatively New,1766.64,No,unfurnished,Low,Mid Floor
flat,sohna road,0.68,2,2,2,New Property,1027.71,No,unfurnished,Medium,Mid Floor
flat,sector 112,3.1,2,2,3,Relatively New,1870.56,Yes,semifurnished,Medium,Mid Floor
